week_start,sku,product_name,category,units_sold,sell_through_units,stockout_flag,on_hand_end_of_week,lead_time_days,moq,unit_cost,unit_price
2026-03-30,SKU-1001,Classic Cotton Tee - Navy,Apparel,149,149,False,345,14,200,6.5,19.99
2026-04-06,SKU-1001,Classic Cotton Tee - Navy,Apparel,190,190,False,155,14,200,6.5,19.99
2026-04-13,SKU-1001,Classic Cotton Tee - Navy,Apparel,191,155,True,0,14,200,6.5,19.99
2026-04-20,SKU-1001,Classic Cotton Tee - Navy,Apparel,213,0,True,0,14,200,6.5,19.99
2026-04-27,SKU-1001,Classic Cotton Tee - Navy,Apparel,170,0,True,0,14,200,6.5,19.99
2026-05-04,SKU-1001,Classic Cotton Tee - Navy,Apparel,174,0,True,0,14,200,6.5,19.99
2026-05-11,SKU-1001,Classic Cotton Tee - Navy,Apparel,174,0,True,540,14,200,6.5,19.99
2026-05-18,SKU-1001,Classic Cotton Tee - Navy,Apparel,165,165,False,375,14,200,6.5,19.99
2026-05-25,SKU-1001,Classic Cotton Tee - Navy,Apparel,118,118,False,257,14,200,6.5,19.99
2026-06-01,SKU-1001,Classic Cotton Tee - Navy,Apparel,224,224,False,33,14,200,6.5,19.99
2026-06-08,SKU-1001,Classic Cotton Tee - Navy,Apparel,222,33,True,0,14,200,6.5,19.99
2026-06-15,SKU-1001,Classic Cotton Tee - Navy,Apparel,154,0,True,0,14,200,6.5,19.99
2026-06-22,SKU-1001,Classic Cotton Tee - Navy,Apparel,188,0,True,540,14,200,6.5,19.99
2026-06-29,SKU-1001,Classic Cotton Tee - Navy,Apparel,180,180,False,360,14,200,6.5,19.99
2026-07-06,SKU-1001,Classic Cotton Tee - Navy,Apparel,183,183,False,177,14,200,6.5,19.99
2026-07-13,SKU-1001,Classic Cotton Tee - Navy,Apparel,140,140,False,37,14,200,6.5,19.99
2026-07-20,SKU-1001,Classic Cotton Tee - Navy,Apparel,189,37,True,0,14,200,6.5,19.99
2026-07-27,SKU-1001,Classic Cotton Tee - Navy,Apparel,229,0,True,0,14,200,6.5,19.99
2026-08-03,SKU-1001,Classic Cotton Tee - Navy,Apparel,293,0,True,540,14,200,6.5,19.99
2026-08-10,SKU-1001,Classic Cotton Tee - Navy,Apparel,226,226,False,314,14,200,6.5,19.99
2026-03-30,SKU-1002,Running Shoe - Men 9,Footwear,148,148,False,228,30,100,22.0,79.99
2026-04-06,SKU-1002,Running Shoe - Men 9,Footwear,192,192,False,36,30,100,22.0,79.99
2026-04-13,SKU-1002,Running Shoe - Men 9,Footwear,167,36,True,0,30,100,22.0,79.99
2026-04-20,SKU-1002,Running Shoe - Men 9,Footwear,177,0,True,0,30,100,22.0,79.99
2026-04-27,SKU-1002,Running Shoe - Men 9,Footwear,170,0,True,0,30,100,22.0,79.99
2026-05-04,SKU-1002,Running Shoe - Men 9,Footwear,241,0,True,0,30,100,22.0,79.99
2026-05-11,SKU-1002,Running Shoe - Men 9,Footwear,190,0,True,540,30,100,22.0,79.99
2026-05-18,SKU-1002,Running Shoe - Men 9,Footwear,162,162,False,378,30,100,22.0,79.99
2026-05-25,SKU-1002,Running Shoe - Men 9,Footwear,218,218,False,160,30,100,22.0,79.99
2026-06-01,SKU-1002,Running Shoe - Men 9,Footwear,160,160,False,0,30,100,22.0,79.99
2026-06-08,SKU-1002,Running Shoe - Men 9,Footwear,204,0,True,0,30,100,22.0,79.99
2026-06-15,SKU-1002,Running Shoe - Men 9,Footwear,141,0,True,0,30,100,22.0,79.99
2026-06-22,SKU-1002,Running Shoe - Men 9,Footwear,161,0,True,540,30,100,22.0,79.99
2026-06-29,SKU-1002,Running Shoe - Men 9,Footwear,209,209,False,331,30,100,22.0,79.99
2026-07-06,SKU-1002,Running Shoe - Men 9,Footwear,227,227,False,104,30,100,22.0,79.99
2026-07-13,SKU-1002,Running Shoe - Men 9,Footwear,212,104,True,0,30,100,22.0,79.99
2026-07-20,SKU-1002,Running Shoe - Men 9,Footwear,205,0,True,0,30,100,22.0,79.99
2026-07-27,SKU-1002,Running Shoe - Men 9,Footwear,563,0,True,0,30,100,22.0,79.99
2026-08-03,SKU-1002,Running Shoe - Men 9,Footwear,462,0,True,540,30,100,22.0,79.99
2026-08-10,SKU-1002,Running Shoe - Men 9,Footwear,534,534,False,6,30,100,22.0,79.99
2026-03-30,SKU-1003,Wool Beanie - Charcoal,Accessories,47,47,False,172,21,150,4.0,14.99
2026-04-06,SKU-1003,Wool Beanie - Charcoal,Accessories,52,52,False,120,21,150,4.0,14.99
2026-04-13,SKU-1003,Wool Beanie - Charcoal,Accessories,50,50,False,70,21,150,4.0,14.99
2026-04-20,SKU-1003,Wool Beanie - Charcoal,Accessories,63,63,False,7,21,150,4.0,14.99
2026-04-27,SKU-1003,Wool Beanie - Charcoal,Accessories,67,7,True,0,21,150,4.0,14.99
2026-05-04,SKU-1003,Wool Beanie - Charcoal,Accessories,71,0,True,0,21,150,4.0,14.99
2026-05-11,SKU-1003,Wool Beanie - Charcoal,Accessories,72,0,True,180,21,150,4.0,14.99
2026-05-18,SKU-1003,Wool Beanie - Charcoal,Accessories,71,71,False,109,21,150,4.0,14.99
2026-05-25,SKU-1003,Wool Beanie - Charcoal,Accessories,62,62,False,47,21,150,4.0,14.99
2026-06-01,SKU-1003,Wool Beanie - Charcoal,Accessories,59,47,True,0,21,150,4.0,14.99
2026-06-08,SKU-1003,Wool Beanie - Charcoal,Accessories,51,0,True,0,21,150,4.0,14.99
2026-06-15,SKU-1003,Wool Beanie - Charcoal,Accessories,77,0,True,0,21,150,4.0,14.99
2026-06-22,SKU-1003,Wool Beanie - Charcoal,Accessories,65,0,True,180,21,150,4.0,14.99
2026-06-29,SKU-1003,Wool Beanie - Charcoal,Accessories,63,63,False,117,21,150,4.0,14.99
2026-07-06,SKU-1003,Wool Beanie - Charcoal,Accessories,80,80,False,37,21,150,4.0,14.99
2026-07-13,SKU-1003,Wool Beanie - Charcoal,Accessories,59,37,True,0,21,150,4.0,14.99
2026-07-20,SKU-1003,Wool Beanie - Charcoal,Accessories,78,0,True,0,21,150,4.0,14.99
2026-07-27,SKU-1003,Wool Beanie - Charcoal,Accessories,73,0,True,0,21,150,4.0,14.99
2026-08-03,SKU-1003,Wool Beanie - Charcoal,Accessories,59,0,True,180,21,150,4.0,14.99
2026-08-10,SKU-1003,Wool Beanie - Charcoal,Accessories,70,70,False,110,21,150,4.0,14.99
2026-03-30,SKU-1004,Ceramic Mug - Sage Green,Home,7,7,False,13,45,50,3.2,12.99
2026-04-06,SKU-1004,Ceramic Mug - Sage Green,Home,11,11,False,2,45,50,3.2,12.99
2026-04-13,SKU-1004,Ceramic Mug - Sage Green,Home,5,2,True,0,45,50,3.2,12.99
2026-04-20,SKU-1004,Ceramic Mug - Sage Green,Home,11,0,True,0,45,50,3.2,12.99
2026-04-27,SKU-1004,Ceramic Mug - Sage Green,Home,0,0,False,0,45,50,3.2,12.99
2026-05-04,SKU-1004,Ceramic Mug - Sage Green,Home,8,0,True,0,45,50,3.2,12.99
2026-05-11,SKU-1004,Ceramic Mug - Sage Green,Home,6,0,True,0,45,50,3.2,12.99
